"YEAR","COMP","RSD"
2010,"CC",1.32864131287475
2011,"36",1.37682801850336
2011,"41",1.1576
2011,"42",1.06878609221287
2011,"45",0.9026
2011,"45A",0.701215572621932
2011,"45B",1.08006580788615
2011,"5&6",1.44082794933878
2011,"7&8",0.458303650730117
2011,"CC",1.24665941006949
2012,"36",1.48245426374692
2012,"41",1.1576
2012,"42",1.06890404491408
2012,"45",0.9026
2012,"45A",0.823102761109001
2012,"45B",1.12970511526037
2012,"5&6",1.54411321837761
2012,"7&8",0.472278114788564
2012,"CC",1.16467750726423
2013,"36",1.48605689881854
2013,"41",1.1576
2013,"42",1.06890404491408
2013,"45",0.9026
2013,"45A",0.907203679807969
2013,"45B",1.01005687177576
2013,"5&6",1.50279911076208
2013,"7&8",0.47916801813614
2013,"CC",1.19747026838633
2014,"36",1.48965953389015
2014,"41",1.1576
2014,"42",1.06895648278144
2014,"45",0.9026
2014,"45A",0.991304598506937
2014,"45B",0.957439459685294
2014,"5&6",1.39930439955182
2014,"7&8",0.481865142705965
2014,"CC",1.19375238220299
2015,"36",1.53744508539227
2015,"41",1.1576
2015,"42",1.06876465554004
2015,"45",0.9026
2015,"45A",0.907556665369838
2015,"45B",0.946206601083619
2015,"5&6",1.21827168554452
2015,"7&8",0.488376201336553
2015,"CC",1.23017044285631
2016,"36",1.59717297767079
2016,"41",1.1576
2016,"42",1.06836889914238
2016,"45",0.9026
2016,"45A",0.802856549174555
2016,"45B",0.981113224716611
2016,"5&6",1.10965784126683
2016,"7&8",0.499100342390524
2016,"CC",1.25200142138701
2017,"36",1.6330161883965
2017,"41",1.1576
2017,"42",1.06728056904879
2017,"45",0.9026
2017,"45A",0.840694168843131
2017,"45B",0.989006719590574
2017,"5&6",1.10968676190024
2017,"7&8",0.507015580405037
2017,"CC",1.25190213208051
2018,"36",1.633
2018,"41",1.1576
2018,"42",1.06564807390842
2018,"45",0.9026
2018,"45A",0.8406
2018,"45B",0.989
2018,"5&6",1.1096
2018,"7&8",0.5069
2018,"CC",1.2522
2019,"36",1.633
2019,"41",1.1576
2019,"42",1.06124064486825
2019,"45",0.9026
2019,"45A",0.8406
2019,"45B",0.989
2019,"5&6",1.1096
2019,"7&8",0.5069
2019,"CC",1.2522
2020,"36",1.633
2020,"41",1.1576
2020,"42",1.06124064486825
2020,"45",0.9026
2020,"45A",0.8406
2020,"45B",0.989
2020,"5&6",1.1096
2020,"7&8",0.5069
2020,"CC",1.2522
2021,"36",1.633
2021,"41",1.1576
2021,"42",0.685438166455672
2021,"45",0.9026
2021,"45A",0.8406
2021,"45B",0.989
2021,"5&6",1.1096
2021,"7&8",0.5069
2021,"CC",1.2522
2022,"36",1.633
2022,"41",1.1576
2022,"42",0.63884838522442
2022,"45",0.9026
2022,"45A",0.8406
2022,"45B",0.989
2022,"5&6",1.1096
2022,"7&8",0.5069
2022,"CC",1.2522
